X,Y,STORENAME,ADDRESS,ZIPCODE,PHONE,WARD,SSL,NOTES,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,PRESENT18,PRESENT22,PRESENT23,PRESENT24,PRESENT25,GIS_ID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8574604.25539909,4719445.17205782,Target ,7828 GEORGIA AVENUE NW,20012,2028923822,Ward 4,2960    0017,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_1,397662.57,146280.07,300512,,{CE302122-4E8D-4DC7-845B-06563B993F66},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,641
-8574502.41761222,4719303.16647473,International Progresso Market,7719 GEORGIA AVENUE NW,20012,2025455015,Ward 4,2961    0810,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_2,397741.8,146169.97,285417,,{2C18863D-40DE-4F66-AA59-46F1C65D67F2},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,642
-8574695.2807224,4717056.12937713,Jocelyn’s Market ,6404 GEORGIA AVENUE NW,20012,2027227574,Ward 4,2945    0839,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_3,397591.16,144428,285334,,{A0B448C3-B3FB-49FE-B8BF-1FEBA3CEA642},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,643
-8580112.20151324,4716738.57023734,Magruder's,5626 CONNECTICUT AVENUE NW,20015,2024644946,Ward 3,1860    0013, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_4,393373.92,144184.19,263860,,{9ABE1C46-BB48-4110-B5BA-C6363CA3BD7A},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,644
-8579939.6968804,4716602.19713409,Safeway,5545 CONNECTICUT AVENUE NW,20015,2022446097,Ward 3,1867    0092, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_5,393508.13,144078.34,263999,,{902F540E-FE16-43A5-8010-CD84E94B28B7},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,645
-8574638.15893889,4716241.07232412,Walmart Supercenter,5929 GEORGIA AVENUE NW,20011,2027193770,Ward 4,2986    0039,Georgia Ave,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_6,397635.44,143796.02,254296,,{A40991EF-B8F3-44B5-AE35-48BD1C814681},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,646
-8571839.5121822,4715653.88077419,Walmart Supercenter,310 RIGGS ROAD NE,20011,2027564418,Ward 4,3748    0052,Riggs Road,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_7,399814.33,143340.35,311574,,{4BA6EDB6-4A42-4EBE-B792-63208B1427FE},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,647
-8573973.88748446,4715457.40887187,Tropimart International Foods,607 KENNEDY STREET NW,20011,2026272752,Ward 4,3207    0089,,,,,,,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,GroceryStorePt_8,398152.47,143188.21,246733,,{4FC86176-5DF9-44E1-B2C2-AFEA77046638},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,648
-8580936.13571715,4715414.28199539,Rodman’s ,5100 WISCONSIN AVENUE NW,20016,2023633466,Ward 3,1656    0009,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_9,392731.53,143157.89,265883,,{572E410A-B3F5-4080-AD0F-CAE80BCBB60A},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,649
-8572980.35515294,4714706.42247743,Avenue Supermarket,5010 1ST STREET NW,20011,2027261330,Ward 4,3403    0806,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,GroceryStorePt_10,398925.97,142605.69,243587,,{676068FB-DF0B-4A78-896F-774E4BFD51D0},2022/09/28 22:04:54+00,2025/01/14 19:33:19+00,650
